ID,Order_LA,Length_mm,Category_Dummy,Category,NestID,Biomass_mg,Date Collected,OrdinalDate,﻿Pasture,Pasture_patch,Pasture_patch_year,HerbYesNo_alltime,HerbTreat_1418,GrazingYesNo
261,araneae,4,1,Small,RC2 DICK 27 16,2.231589866,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
272,araneae,8,1,Small,RC2 DICK 27 16,14.90858991,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
271,araneae,7,1,Small,RC2 DICK 27 16,10.34043083,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
270,araneae,7,1,Small,RC2 DICK 27 16,10.34043083,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
269,araneae,6,1,Small,RC2 DICK 27 16,6.778044728,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
268,araneae,6,1,Small,RC2 DICK 27 16,6.778044728,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
267,araneae,6,1,Small,RC2 DICK 27 16,6.778044728,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
266,araneae,5,1,Small,RC2 DICK 27 16,4.112896836,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
265,araneae,5,1,Small,RC2 DICK 27 16,4.112896836,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
264,araneae,5,1,Small,RC2 DICK 27 16,4.112896836,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
357,araneae,5,1,Small,RC2 DICK 8 16,4.112896836,06/30/2016,182,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
262,araneae,4,1,Small,RC2 DICK 27 16,2.231589866,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
301,araneae,2,1,Small,RC2 DICK 30 16,0.334035168,08/08/2016,221,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
260,araneae,3,1,Small,RC2 DICK 27 16,1.014570528,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
259,araneae,3,1,Small,RC2 DICK 27 16,1.014570528,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
258,araneae,3,1,Small,RC2 DICK 27 16,1.014570528,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
257,araneae,2,1,Small,RC2 DICK 27 16,0.334035168,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
238,araneae,9,1,Small,RC2 DICK 21 16,20.58706711,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
237,araneae,6,1,Small,RC2 DICK 21 16,6.778044728,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
236,araneae,6,1,Small,RC2 DICK 21 16,6.778044728,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
263,araneae,4,1,Small,RC2 DICK 27 16,2.231589866,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
346,araneae,4,1,Small,RC2 DICK 7 16,2.231589866,06/03/2016,155,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
356,araneae,5,1,Small,RC2 DICK 8 16,4.112896836,06/30/2016,182,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
355,araneae,5,1,Small,RC2 DICK 8 16,4.112896836,06/30/2016,182,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
354,araneae,4,1,Small,RC2 DICK 8 16,2.231589866,06/30/2016,182,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
353,araneae,4,1,Small,RC2 DICK 8 16,2.231589866,06/30/2016,182,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
352,araneae,3,1,Small,RC2 DICK 8 16,1.014570528,06/30/2016,182,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
351,araneae,3,1,Small,RC2 DICK 8 16,1.014570528,06/30/2016,182,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
350,araneae,11,1,Small,RC2 DICK 7 16,35.67680558,06/03/2016,155,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
349,araneae,5,1,Small,RC2 DICK 7 16,4.112896836,06/03/2016,155,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
299,araneae,2,1,Small,RC2 DICK 30 16,0.334035168,08/08/2016,221,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
347,araneae,4,1,Small,RC2 DICK 7 16,2.231589866,06/03/2016,155,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
300,araneae,2,1,Small,RC2 DICK 30 16,0.334035168,08/08/2016,221,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
345,araneae,2,1,Small,RC2 DICK 7 16,0.334035168,06/03/2016,155,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
308,araneae,7,1,Small,RC2 DICK 30 16,10.34043083,08/08/2016,221,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
307,araneae,7,1,Small,RC2 DICK 30 16,10.34043083,08/08/2016,221,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
306,araneae,6,1,Small,RC2 DICK 30 16,6.778044728,08/08/2016,221,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
305,araneae,5,1,Small,RC2 DICK 30 16,4.112896836,08/08/2016,221,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
304,araneae,4,1,Small,RC2 DICK 30 16,2.231589866,08/08/2016,221,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
303,araneae,3,1,Small,RC2 DICK 30 16,1.014570528,08/08/2016,221,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
302,araneae,3,1,Small,RC2 DICK 30 16,1.014570528,08/08/2016,221,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
233,araneae,5,1,Small,RC2 DICK 21 16,4.112896836,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
348,araneae,5,1,Small,RC2 DICK 7 16,4.112896836,06/03/2016,155,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
180,araneae,4,1,Small,RC2 DICK 12 16,2.231589866,07/08/2016,190,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
235,araneae,6,1,Small,RC2 DICK 21 16,6.778044728,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
190,araneae,4,1,Small,RC2 DICK 15 16,2.231589866,06/19/2016,171,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
189,araneae,3,1,Small,RC2 DICK 15 16,1.014570528,06/19/2016,171,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
188,araneae,2,1,Small,RC2 DICK 15 16,0.334035168,06/19/2016,171,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
187,araneae,6,1,Small,RC2 DICK 14 16,6.778044728,07/01/2016,183,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
186,araneae,5,1,Small,RC2 DICK 14 16,4.112896836,07/01/2016,183,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
185,araneae,2,1,Small,RC2 DICK 14 16,0.334035168,07/01/2016,183,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
184,araneae,2,1,Small,RC2 DICK 14 16,0.334035168,07/01/2016,183,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
183,araneae,6,1,Small,RC2 DICK 13 16,6.778044728,06/14/2016,166,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
192,araneae,4,1,Small,RC2 DICK 15 16,2.231589866,06/19/2016,171,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
181,araneae,5,1,Small,RC2 DICK 12 16,4.112896836,07/08/2016,190,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
196,araneae,3,1,Small,RC2 DICK 17 16,1.014570528,07/08/2016,190,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
179,araneae,3,1,Small,RC2 DICK 12 16,1.014570528,07/08/2016,190,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
178,araneae,3,1,Small,RC2 DICK 12 16,1.014570528,07/08/2016,190,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
177,araneae,8,1,Small,RC2 DICK 11 16,14.90858991,07/01/2016,183,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
176,araneae,5,1,Small,RC2 DICK 11 16,4.112896836,07/01/2016,183,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
175,araneae,4,1,Small,RC2 DICK 11 16,2.231589866,07/01/2016,183,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
174,araneae,3,1,Small,RC2 DICK 11 16,1.014570528,07/01/2016,183,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
173,araneae,3,1,Small,RC2 DICK 11 16,1.014570528,07/01/2016,183,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
172,araneae,3,1,Small,RC2 DICK 11 16,1.014570528,07/01/2016,183,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
171,araneae,2,1,Small,RC2 DICK 11 16,0.334035168,07/01/2016,183,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
182,araneae,4,1,Small,RC2 DICK 13 16,2.231589866,06/14/2016,166,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
222,araneae,2,1,Small,RC2 DICK 21 16,0.334035168,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
68,araneae,10,1,Small,GIL DICK 4 16,27.47704369,08/02/2016,215,GIL,GIL_S,GIL_S_2016,No,Con,Yes
232,araneae,4,1,Small,RC2 DICK 21 16,2.231589866,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
231,araneae,4,1,Small,RC2 DICK 21 16,2.231589866,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
230,araneae,3,1,Small,RC2 DICK 21 16,1.014570528,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
229,araneae,3,1,Small,RC2 DICK 21 16,1.014570528,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
228,araneae,3,1,Small,RC2 DICK 21 16,1.014570528,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
227,araneae,3,1,Small,RC2 DICK 21 16,1.014570528,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
226,araneae,3,1,Small,RC2 DICK 21 16,1.014570528,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
225,araneae,3,1,Small,RC2 DICK 21 16,1.014570528,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
191,araneae,4,1,Small,RC2 DICK 15 16,2.231589866,06/19/2016,171,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
223,araneae,2,1,Small,RC2 DICK 21 16,0.334035168,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
234,araneae,5,1,Small,RC2 DICK 21 16,4.112896836,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
205,araneae,5,1,Small,RC2 DICK 17 16,4.112896836,07/08/2016,190,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
204,araneae,5,1,Small,RC2 DICK 17 16,4.112896836,07/08/2016,190,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
203,araneae,4,1,Small,RC2 DICK 17 16,2.231589866,07/08/2016,190,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
202,araneae,4,1,Small,RC2 DICK 17 16,2.231589866,07/08/2016,190,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
201,araneae,4,1,Small,RC2 DICK 17 16,2.231589866,07/08/2016,190,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
200,araneae,3,1,Small,RC2 DICK 17 16,1.014570528,07/08/2016,190,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
199,araneae,3,1,Small,RC2 DICK 17 16,1.014570528,07/08/2016,190,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
198,araneae,3,1,Small,RC2 DICK 17 16,1.014570528,07/08/2016,190,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
197,araneae,3,1,Small,RC2 DICK 17 16,1.014570528,07/08/2016,190,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
224,araneae,2,1,Small,RC2 DICK 21 16,0.334035168,07/30/2016,212,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
10,araneae,2,1,Small,BSH DICK 3 16,0.334035168,07/09/2016,191,BSH,BSH_C,BSH_C_2016,Yes,Spr,No
358,araneae,6,1,Small,RC2 DICK 8 16,6.778044728,06/30/2016,182,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
107,araneae,2,1,Small,LTR DICK 2 16,0.334035168,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
110,araneae,4,1,Small,LTR DICK 2 16,2.231589866,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
111,araneae,4,1,Small,LTR DICK 2 16,2.231589866,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
112,araneae,4,1,Small,LTR DICK 2 16,2.231589866,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
113,araneae,5,1,Small,LTR DICK 2 16,4.112896836,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
14,araneae,6,1,Small,BSH DICK 3 16,6.778044728,07/09/2016,191,BSH,BSH_C,BSH_C_2016,Yes,Spr,No
13,araneae,4,1,Small,BSH DICK 3 16,2.231589866,07/09/2016,191,BSH,BSH_C,BSH_C_2016,Yes,Spr,No
34,araneae,5,1,Small,BSH DICK 9 16,4.112896836,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
11,araneae,3,1,Small,BSH DICK 3 16,1.014570528,07/09/2016,191,BSH,BSH_C,BSH_C_2016,Yes,Spr,No
33,araneae,5,1,Small,BSH DICK 9 16,4.112896836,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
9,araneae,5,1,Small,BSH DICK 10 16,4.112896836,08/08/2016,221,BSH,BSH_C,BSH_C_2016,Yes,Spr,No
8,araneae,5,1,Small,BSH DICK 10 16,4.112896836,08/08/2016,221,BSH,BSH_C,BSH_C_2016,Yes,Spr,No
7,araneae,4,1,Small,BSH DICK 10 16,2.231589866,08/08/2016,221,BSH,BSH_C,BSH_C_2016,Yes,Spr,No
6,araneae,3,1,Small,BSH DICK 10 16,1.014570528,08/08/2016,221,BSH,BSH_C,BSH_C_2016,Yes,Spr,No
5,araneae,2,1,Small,BSH DICK 10 16,0.334035168,08/08/2016,221,BSH,BSH_C,BSH_C_2016,Yes,Spr,No
4,araneae,6,1,Small,BSH DICK 1 16,6.778044728,07/09/2016,191,BSH,BSH_C,BSH_C_2016,Yes,Spr,No
3,araneae,4,1,Small,BSH DICK 1 16,2.231589866,07/09/2016,191,BSH,BSH_C,BSH_C_2016,Yes,Spr,No
1,araneae,3,1,Small,BSH DICK 1 16,1.014570528,07/09/2016,191,BSH,BSH_C,BSH_C_2016,Yes,Spr,No
210,araneae,4,1,Small,RC2 DICK 19 16,2.231589866,07/08/2016,190,RC2,RC2_C,RC2_C_2016,Yes,Spr,No
12,araneae,4,1,Small,BSH DICK 3 16,2.231589866,07/09/2016,191,BSH,BSH_C,BSH_C_2016,Yes,Spr,No
23,araneae,3,1,Small,BSH DICK 9 16,1.014570528,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
108,araneae,3,1,Small,LTR DICK 2 16,1.014570528,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
109,araneae,3,1,Small,LTR DICK 2 16,1.014570528,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
15,araneae,2,1,Small,BSH DICK 9 16,0.334035168,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
16,araneae,2,1,Small,BSH DICK 9 16,0.334035168,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
17,araneae,3,1,Small,BSH DICK 9 16,1.014570528,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
18,araneae,3,1,Small,BSH DICK 9 16,1.014570528,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
19,araneae,3,1,Small,BSH DICK 9 16,1.014570528,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
20,araneae,3,1,Small,BSH DICK 9 16,1.014570528,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
35,araneae,11,1,Small,BSH DICK 9 16,35.67680558,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
22,araneae,3,1,Small,BSH DICK 9 16,1.014570528,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
117,araneae,3,1,Small,LTR DICK 4 16,1.014570528,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
24,araneae,3,1,Small,BSH DICK 9 16,1.014570528,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
25,araneae,3,1,Small,BSH DICK 9 16,1.014570528,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
26,araneae,4,1,Small,BSH DICK 9 16,2.231589866,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
27,araneae,4,1,Small,BSH DICK 9 16,2.231589866,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
28,araneae,4,1,Small,BSH DICK 9 16,2.231589866,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
29,araneae,4,1,Small,BSH DICK 9 16,2.231589866,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
30,araneae,4,1,Small,BSH DICK 9 16,2.231589866,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
31,araneae,5,1,Small,BSH DICK 9 16,4.112896836,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
32,araneae,5,1,Small,BSH DICK 9 16,4.112896836,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
21,araneae,3,1,Small,BSH DICK 9 16,1.014570528,08/08/2016,221,BSH,BSH_S,BSH_S_2016,Yes,SnS,No
150,araneae,4,1,Small,LTR DICK 7 16,2.231589866,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
140,araneae,2,1,Small,LTR DICK 7 16,0.334035168,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
141,araneae,3,1,Small,LTR DICK 7 16,1.014570528,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
142,araneae,3,1,Small,LTR DICK 7 16,1.014570528,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
143,araneae,3,1,Small,LTR DICK 7 16,1.014570528,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
144,araneae,3,1,Small,LTR DICK 7 16,1.014570528,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
145,araneae,3,1,Small,LTR DICK 7 16,1.014570528,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
146,araneae,3,1,Small,LTR DICK 7 16,1.014570528,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
147,araneae,4,1,Small,LTR DICK 7 16,2.231589866,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
115,araneae,6,1,Small,LTR DICK 2 16,6.778044728,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
149,araneae,4,1,Small,LTR DICK 7 16,2.231589866,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
137,araneae,6,1,Small,LTR DICK 4 16,6.778044728,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
151,araneae,5,1,Small,LTR DICK 7 16,4.112896836,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
152,araneae,5,1,Small,LTR DICK 7 16,4.112896836,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
153,araneae,5,1,Small,LTR DICK 7 16,4.112896836,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
154,araneae,5,1,Small,LTR DICK 7 16,4.112896836,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
155,araneae,5,1,Small,LTR DICK 7 16,4.112896836,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
156,araneae,5,1,Small,LTR DICK 7 16,4.112896836,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
157,araneae,5,1,Small,LTR DICK 7 16,4.112896836,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
114,araneae,5,1,Small,LTR DICK 2 16,4.112896836,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
359,araneae,8,1,Small,RC2 DICK 8 16,14.90858991,06/30/2016,182,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
148,araneae,4,1,Small,LTR DICK 7 16,2.231589866,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
128,araneae,4,1,Small,LTR DICK 4 16,2.231589866,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
170,araneae,6,1,Small,RC2 DICK 1 16,6.778044728,06/15/2016,167,RC2,RC2_N,RC2_N_2016,Yes,SnS,No
118,araneae,3,1,Small,LTR DICK 4 16,1.014570528,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
119,araneae,3,1,Small,LTR DICK 4 16,1.014570528,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
120,araneae,3,1,Small,LTR DICK 4 16,1.014570528,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
121,araneae,3,1,Small,LTR DICK 4 16,1.014570528,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
122,araneae,3,1,Small,LTR DICK 4 16,1.014570528,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
123,araneae,3,1,Small,LTR DICK 4 16,1.014570528,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
124,araneae,3,1,Small,LTR DICK 4 16,1.014570528,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
125,araneae,4,1,Small,LTR DICK 4 16,2.231589866,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
139,araneae,2,1,Small,LTR DICK 7 16,0.334035168,08/05/2016,218,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
127,araneae,4,1,Small,LTR DICK 4 16,2.231589866,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
138,araneae,7,1,Small,LTR DICK 4 16,10.34043083,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
129,araneae,4,1,Small,LTR DICK 4 16,2.231589866,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
130,araneae,4,1,Small,LTR DICK 4 16,2.231589866,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
131,araneae,4,1,Small,LTR DICK 4 16,2.231589866,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
132,araneae,5,1,Small,LTR DICK 4 16,4.112896836,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
133,araneae,5,1,Small,LTR DICK 4 16,4.112896836,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
134,araneae,5,1,Small,LTR DICK 4 16,4.112896836,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
135,araneae,5,1,Small,LTR DICK 4 16,4.112896836,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
136,araneae,6,1,Small,LTR DICK 4 16,6.778044728,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
116,araneae,8,1,Small,LTR DICK 2 16,14.90858991,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
126,araneae,4,1,Small,LTR DICK 4 16,2.231589866,07/14/2016,196,LTR,LTR_E,LTR_E_2016,Yes,SnS,Yes
